Game Boy , 0 , 0 , 0.0 , 2010-03-01 00:00:00
Game Boy Advance , 46 , 2122 , 46.63 , 2010-03-01 00:00:00
Game Boy Color , 1 , 27 , 27.3 , 2010-03-01 00:00:00
GameCube , 53 , 3057 , 57.75 , 2010-03-01 00:00:00
N-Gage , 2 , 18 , 9.99 , 2010-03-01 00:00:00
Neo Geo Pocket , 1 , 64 , 63.69 , 2010-03-01 00:00:00
Nintendo 16 Bit , 0 , 0 , 0.0 , 2010-03-01 00:00:00
Nintendo DS , 699117 , 108566022 , 155.29 , 2010-03-01 00:00:00
PlayStation , 3 , 81 , 25.49 , 2010-03-01 00:00:00
PlayStation 2 , 118308 , 11757986 , 99.38 , 2010-03-01 00:00:00
PlayStation 3 , 312993 , 95667481 , 305.65 , 2010-03-01 00:00:00
PlayStation Portable , 120161 , 21740501 , 180.93 , 2010-03-01 00:00:00
Wii , 556002 , 111440542 , 200.43 , 2010-03-01 00:00:00
Xbox , 2 , 79 , 49.99 , 2010-03-01 00:00:00
Xbox 360 , 337053 , 89182180 , 264.59 , 2010-03-01 00:00:00
Game Boy Advance , 26 , 1685 , 64.81 , 2011-03-01 00:00:00
Game Boy Color , 1 , 14 , 14.48 , 2011-03-01 00:00:00
Game Gear , 0 , 0 , 0.0 , 2011-03-01 00:00:00
GameCube , 7 , 576 , 79.99 , 2011-03-01 00:00:00
Genesis , 0 , 0 , 0.0 , 2011-03-01 00:00:00
N-Gage , 2 , 16 , 7.99 , 2011-03-01 00:00:00
Neo Geo Pocket , 1 , 70 , 69.99 , 2011-03-01 00:00:00
Nintendo 3DS , 399615 , 99737497 , 249.58 , 2011-03-01 00:00:00
Nintendo DS , 462729 , 71180860 , 153.83 , 2011-03-01 00:00:00
PlayStation , 2 , 63 , 34.99 , 2011-03-01 00:00:00
PlayStation 2 , 27568 , 2559436 , 92.84 , 2011-03-01 00:00:00
PlayStation 3 , 362680 , 115761125 , 319.18 , 2011-03-01 00:00:00
PlayStation Portable , 186983 , 25022541 , 133.82 , 2011-03-01 00:00:00
Wii , 289858 , 56841242 , 196.1 , 2011-03-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2011-03-01 00:00:00
Xbox 360 , 433667 , 123093089 , 283.84 , 2011-03-01 00:00:00
Dreamcast , 17 , 1527 , 88.99 , 2010-04-01 00:00:00
Game Boy , 0 , 0 , 0.0 , 2010-04-01 00:00:00
Game Boy Advance , 45 , 1814 , 40.31 , 2010-04-01 00:00:00
GameCube , 32 , 1535 , 47.46 , 2010-04-01 00:00:00
N-Gage , 4 , 76 , 18.97 , 2010-04-01 00:00:00
Neo Geo Pocket , 1 , 70 , 69.99 , 2010-04-01 00:00:00
Nintendo 16 Bit , 0 , 0 , 0.0 , 2010-04-01 00:00:00
Nintendo DS , 439784 , 71752625 , 163.15 , 2010-04-01 00:00:00
PlayStation , 3 , 170 , 51.48 , 2010-04-01 00:00:00
PlayStation 2 , 44190 , 4377909 , 99.07 , 2010-04-01 00:00:00
PlayStation 3 , 180590 , 56357278 , 312.07 , 2010-04-01 00:00:00
PlayStation Portable , 65684 , 12033280 , 183.2 , 2010-04-01 00:00:00
Wii , 276850 , 54250472 , 195.96 , 2010-04-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2010-04-01 00:00:00
